year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,11,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",82.00,15.00,7.72,0.00,3.39,0.00,3.89,0.00,0.00,550.00,301.00,0.00,107.00,0.00,142.00
2024,11,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,11,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",82.00,10.00,5.05,1.00,1.47,0.00,2.49,0.00,2.00,559.00,298.00,55.00,48.00,0.00,158.00
2024,11,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",75.00,3.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,93.00,73.00,0.00,0.00,0.00,20.00
2024,11,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",91.00,10.00,2.53,0.00,3.86,0.00,3.61,0.00,0.00,406.00,196.00,0.00,110.00,0.00,100.00
2024,11,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2531.00,284.00,67.83,14.56,88.76,0.00,112.85,2.00,0.00,21871.00,8273.00,1099.00,3119.00,0.00,9380.00
2024,11,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,11,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",54.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,95.00,50.00,0.00,0.00,0.00,45.00
2024,11,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",30.00,3.00,0.72,0.00,2.05,0.00,0.23,0.00,0.00,134.00,38.00,0.00,83.00,0.00,13.00
2024,11,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",112.00,7.00,2.02,0.00,1.72,0.00,3.27,0.00,0.00,267.00,113.00,0.00,44.00,0.00,110.00
2024,11,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",80.00,7.00,2.71,0.00,1.14,0.00,3.15,0.00,0.00,163.00,72.00,0.00,26.00,0.00,65.00
2024,11,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",58.00,4.00,1.67,0.00,0.33,0.00,2.00,0.00,0.00,243.00,165.00,0.00,28.00,0.00,50.00
2024,11,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",58.00,7.00,2.00,0.00,1.03,0.00,3.97,0.00,0.00,433.00,229.00,0.00,19.00,0.00,185.00
2024,11,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",35.00,5.00,4.32,0.00,0.68,0.00,0.00,0.00,0.00,442.00,415.00,0.00,27.00,0.00,0.00
2024,11,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",38.00,3.00,2.54,0.00,0.46,0.00,0.00,0.00,0.00,113.00,98.00,0.00,15.00,0.00,0.00
2024,11,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",155.00,11.00,0.14,0.00,7.14,0.00,3.72,0.00,0.00,560.00,13.00,0.00,234.00,0.00,313.00
2024,11,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",199.00,16.00,4.44,0.00,4.16,0.00,7.40,0.00,0.00,797.00,291.00,0.00,97.00,0.00,409.00
2024,11,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",131.00,14.00,5.88,0.00,3.59,0.00,4.53,0.00,0.00,576.00,227.00,0.00,108.00,0.00,241.00
2024,11,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",224.00,21.00,8.31,1.61,6.10,0.00,4.97,0.00,1.00,849.00,351.00,70.00,217.00,0.00,211.00
2024,11,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",177.00,17.00,5.91,0.00,4.30,0.00,6.79,0.00,1.00,455.00,122.00,0.00,85.00,0.00,248.00
2024,11,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",175.00,9.00,3.73,0.00,4.49,0.00,0.78,0.00,0.00,532.00,219.00,0.00,208.00,0.00,105.00
2024,11,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,11,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",171.00,9.00,3.00,0.00,3.68,0.00,2.32,0.00,0.00,391.00,208.00,0.00,85.00,0.00,98.00
