year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,state_cd,Region,Division,State
2024,11,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",82,15,7.72,0,3.39,0,3.89,0,0,550,301,0,107,0,142,PA,Northeast,Mid-Atlantic,Pennsylvania
2024,11,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GA,South,South Atlantic,Georgia
2024,11,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",82,10,5.05,1,1.47,0,2.49,0,2,559,298,55,48,0,158,LA,South,West South Central,Louisiana
2024,11,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",75,3,2,0,0,0,1,0,0,93,73,0,0,0,20,GA,South,South Atlantic,Georgia
2024,11,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",91,10,2.53,0,3.86,0,3.61,0,0,406,196,0,110,0,100,NY,Northeast,Mid-Atlantic,New York
2024,11,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2531,284,67.83,14.56,88.76,0,112.85,2,0,21871,8273,1099,3119,0,9380,GA,South,South Atlantic,Georgia
2024,11,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TX,South,West South Central,Texas
2024,11,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",54,2,1,0,0,0,1,0,0,95,50,0,0,0,45,NC,South,South Atlantic,North Carolina
2024,11,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",30,3,0.72,0,2.05,0,0.23,0,0,134,38,0,83,0,13,NY,Northeast,Mid-Atlantic,New York
2024,11,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",112,7,2.02,0,1.72,0,3.27,0,0,267,113,0,44,0,110,ME,Northeast,New England,Maine
2024,11,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",80,7,2.71,0,1.14,0,3.15,0,0,163,72,0,26,0,65,AL,South,East South Central,Alabama
2024,11,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",58,4,1.67,0,0.33,0,2,0,0,243,165,0,28,0,50,IL,Midwest,East North Central,Illinois
2024,11,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",58,7,2,0,1.03,0,3.97,0,0,433,229,0,19,0,185,TN,South,East South Central,Tennessee
2024,11,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",35,5,4.32,0,0.68,0,0,0,0,442,415,0,27,0,0,GA,South,South Atlantic,Georgia
2024,11,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",38,3,2.54,0,0.46,0,0,0,0,113,98,0,15,0,0,LA,South,West South Central,Louisiana
2024,11,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",155,11,0.14,0,7.14,0,3.72,0,0,560,13,0,234,0,313,VT,Northeast,New England,Vermont
2024,11,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",199,16,4.44,0,4.16,0,7.4,0,0,797,291,0,97,0,409,NY,Northeast,Mid-Atlantic,New York
2024,11,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",131,14,5.88,0,3.59,0,4.53,0,0,576,227,0,108,0,241,SC,South,South Atlantic,South Carolina
2024,11,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",224,21,8.31,1.61,6.1,0,4.97,0,1,849,351,70,217,0,211,TN,South,East South Central,Tennessee
2024,11,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",177,17,5.91,0,4.3,0,6.79,0,1,455,122,0,85,0,248,VA,South,South Atlantic,Virginia
2024,11,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",175,9,3.73,0,4.49,0,0.78,0,0,532,219,0,208,0,105,SC,South,South Atlantic,South Carolina
2024,11,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IA,Midwest,West North Central,Iowa
2024,11,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",171,9,3,0,3.68,0,2.32,0,0,391,208,0,85,0,98,OH,Midwest,East North Central,Ohio
2024,11,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",277,25,10.6,0,7.52,0,6.87,0,0,1383,595,0,353,0,435,NC,South,South Atlantic,North Carolina
2024,11,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International",19,5,2.37,0,2.61,0,0.02,0,0,159,91,0,67,0,1,OH,Midwest,East North Central,Ohio
2024,11,9E,Endeavor Air Inc.,CRW,"Charleston/Dunbar, WV: West Virginia International Yeager",29,4,1.98,1,1.02,0,0,0,0,201,119,66,16,0,0,WV,South,South Atlantic,West Virginia
2024,11,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",82,10,5.41,2.8,1.23,0,0.55,2,1,1930,169,1536,144,0,81,GA,South,South Atlantic,Georgia
2024,11,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",502,61,8.4,4,15.46,0,33.14,0,0,4606,1333,355,744,0,2174,OH,Midwest,East North Central,Ohio
2024,11,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin",59,4,0.82,0,2.96,0,0.21,0,0,234,84,0,136,0,14,WI,Midwest,East North Central,Wisconsin
2024,11,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",26,3,1.5,0,0,1,0.5,0,0,84,51,0,0,20,13,OH,Midwest,East North Central,Ohio
2024,11,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",155,35,3.97,0.41,26.66,0,3.96,0,0,1809,337,73,1047,0,352,DC,South,South Atlantic,District of Columbia
2024,11,9E,Endeavor Air Inc.,DHN,"Dothan, AL: Dothan Regional",78,8,2.53,2.78,0.51,0,2.18,0,0,1444,196,1108,15,0,125,AL,South,East South Central,Alabama
2024,11,9E,Endeavor Air Inc.,DSM,"Des Moines, IA: Des Moines International",210,15,4.3,0,9.05,0,1.65,0,0,558,193,0,246,0,119,IA,Midwest,West North Central,Iowa
2024,11,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1056,73,23.37,2.21,10.43,0,36.99,0,0,4421,1748,192,585,0,1896,MI,Midwest,East North Central,Michigan
2024,11,9E,Endeavor Air Inc.,EVV,"Evansville, IN: Evansville Regional",77,9,6.78,0,1.06,0,1.16,0,0,991,869,0,26,0,96,IN,Midwest,East North Central,Indiana
2024,11,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",140,43,1.63,0,37.93,0,3.45,0,0,3196,101,0,2751,0,344,NJ,Northeast,Mid-Atlantic,New Jersey
2024,11,9E,Endeavor Air Inc.,FAR,"Fargo, ND: Hector International",10,1,0,0,1,0,0,0,0,15,0,0,15,0,0,ND,Midwest,West North Central,North Dakota
2024,11,9E,Endeavor Air Inc.,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",56,7,2.5,0,1.51,0,2.99,0,0,319,127,0,32,0,160,NC,South,South Atlantic,North Carolina
2024,11,9E,Endeavor Air Inc.,FSD,"Sioux Falls, SD: Joe Foss Field",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SD,Midwest,West North Central,South Dakota
2024,11,9E,Endeavor Air Inc.,FWA,"Fort Wayne, IN: Fort Wayne International",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IN,Midwest,East North Central,Indiana
2024,11,9E,Endeavor Air Inc.,GNV,"Gainesville, FL: Gainesville Regional",4,1,0,0,0.55,0,0.45,0,0,33,0,0,18,0,15,FL,South,South Atlantic,Florida
2024,11,9E,Endeavor Air Inc.,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MS,South,East South Central,Mississippi
2024,11,9E,Endeavor Air Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",23,4,1.08,0,1.22,0,1.7,0,0,151,38,0,57,0,56,MI,Midwest,East North Central,Michigan
2024,11,9E,Endeavor Air Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",104,6,1.26,0,3.59,0,1.15,0,0,332,92,0,164,0,76,NC,South,South Atlantic,North Carolina
2024,11,9E,Endeavor Air Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",159,10,1.42,0,3.64,0,4.93,0,0,367,72,0,137,0,158,SC,South,South Atlantic,South Carolina
2024,11,9E,Endeavor Air Inc.,GTR,"Columbus, MS: Golden Triangle Regional",60,4,1.54,0,0.16,0,2.3,0,1,122,48,0,5,0,69,MS,South,East South Central,Mississippi
2024,11,9E,Endeavor Air Inc.,HPN,"White Plains, NY: Westchester County",86,8,6.79,0,1,0,0.21,0,0,305,270,0,19,0,16,NY,Northeast,Mid-Atlantic,New York
2024,11,9E,Endeavor Air Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",20,2,1.79,0,0.21,0,0,0,0,57,51,0,6,0,0,AL,South,East South Central,Alabama
2024,11,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",20,3,1,0,2,0,0,0,0,113,63,0,50,0,0,DC,South,South Atlantic,District of Columbia
2024,11,9E,Endeavor Air Inc.,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KS,Midwest,West North Central,Kansas
2024,11,9E,Endeavor Air Inc.,ILM,"Wilmington, NC: Wilmington International",125,14,8.19,0,1.35,0,4.46,0,0,527,290,0,35,0,202,NC,South,South Atlantic,North Carolina
2024,11,9E,Endeavor Air Inc.,IND,"Indianapolis, IN: Indianapolis International",171,11,0.36,0,6.63,0,4.01,0,0,365,22,0,197,0,146,IN,Midwest,East North Central,Indiana
2024,11,9E,Endeavor Air Inc.,ITH,"Ithaca/Cortland, NY: Ithaca Tompkins International",58,4,0.86,0,0.54,0,2.6,0,0,170,32,0,11,0,127,NY,Northeast,Mid-Atlantic,New York
2024,11,9E,Endeavor Air Inc.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",60,8,1.93,0,3.6,0,2.46,0,0,196,70,0,78,0,48,MS,South,East South Central,Mississippi
2024,11,9E,Endeavor Air Inc.,JAX,"Jacksonville, FL: Jacksonville International",69,5,1.33,0,2.57,0,1.1,0,0,175,71,0,56,0,48,FL,South,South Atlantic,Florida
2024,11,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1213,91,20.6,5.82,41.07,0,23.51,0,1,4999,1265,357,2032,0,1345,NY,Northeast,Mid-Atlantic,New York
2024,11,9E,Endeavor Air Inc.,LEX,"Lexington, KY: Blue Grass",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KY,South,East South Central,Kentucky
2024,11,9E,Endeavor Air Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",89,9,4.84,0,1.37,0,2.79,0,0,478,254,0,35,0,189,LA,South,West South Central,Louisiana
2024,11,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",2318,223,57.01,4.41,106.29,0,55.29,0,0,16734,7169,423,5265,0,3877,NY,Northeast,Mid-Atlantic,New York
2024,11,9E,Endeavor Air Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",25,4,0.8,0,0.18,0,3.03,0,0,165,32,0,7,0,126,AR,South,West South Central,Arkansas
2024,11,9E,Endeavor Air Inc.,MCI,"Kansas City, MO: Kansas City International",25,2,0,0,2,0,0,0,0,61,0,0,61,0,0,MO,Midwest,West North Central,Missouri
2024,11,9E,Endeavor Air Inc.,MDT,"Harrisburg, PA: Harrisburg International",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PA,Northeast,Mid-Atlantic,Pennsylvania
2024,11,9E,Endeavor Air Inc.,MEM,"Memphis, TN: Memphis International",150,15,5.75,0,8.16,0,1.1,0,1,581,277,0,238,0,66,TN,South,East South Central,Tennessee
2024,11,9E,Endeavor Air Inc.,MGM,"Montgomery, AL: Montgomery Regional",124,12,3.33,4.36,1.13,0,3.18,0,0,368,62,152,26,0,128,AL,South,East South Central,Alabama
2024,11,9E,Endeavor Air Inc.,MKE,"Milwaukee, WI: General Mitchell International",74,6,2,0,3,0,1,0,0,261,160,0,74,0,27,WI,Midwest,East North Central,Wisconsin
2024,11,9E,Endeavor Air Inc.,MLI,"Moline, IL: Quad Cities International",58,10,5.22,0,2.05,0,2.73,0,0,449,328,0,50,0,71,IL,Midwest,East North Central,Illinois
2024,11,9E,Endeavor Air Inc.,MLU,"Monroe, LA: Monroe Regional",77,10,7.76,1,0.24,0,1,0,3,371,221,47,10,0,93,LA,South,West South Central,Louisiana
2024,11,9E,Endeavor Air Inc.,MOB,"Mobile, AL: Mobile Regional",78,3,1,0,1,0,1,0,0,117,15,0,16,0,86,AL,South,East South Central,Alabama
2024,11,9E,Endeavor Air Inc.,MSN,"Madison, WI: Dane County Regional-Truax Field",35,5,3.49,0,1.41,0,0.1,0,0,494,373,0,107,0,14,WI,Midwest,East North Central,Wisconsin
